event,node,start,end
form start,,1638103078883,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638103078884,1638103081511
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638103081520,1638103231658
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638103231667,1638103232473
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638103232483,1638103238043
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638103238054,1638103239766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638103239777,1638103241633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638103241644,1638103243396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638103243407,1638103248399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638103248409,1638103250012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638103250024,1638103257692
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638103257701,1638103317270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638103317335,1638103319418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638103319428,1638103324555
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638103324565,1638103344371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638103344381,1638103352118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638103352129,1638103357986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638103357996,1638103359499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638103359509,1638103392364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638103392372,1638103402206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638103402216,1638103403752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638103403761,1638103405465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638103405476,1638103427292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638103427301,1638103431117
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638103431126,1638103550901
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638103550982,1638103603611
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638103603666,1638103630722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638103630730,1638103643755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638103643764,1638103675674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638103675683,1638103686014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638103686023,1638103709756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638103709766,1638103711801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638103711810,1638103712781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638103712791,1638103714112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638103714121,1638103715954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638103715965,1638103718248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638103718259,1638103726311
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638103726322,1638103957376
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638103957429,1638104073128
