event,node,start,end
form start,,1637487327092,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637487327093,1637487329766
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637487329775,1637487490682
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637487490693,1637487491566
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637487491575,1637487493417
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637487493425,1637487496155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637487496167,1637487498296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637487498309,1637487500168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637487500180,1637487502502
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637487502514,1637487504962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637487504971,1637487513122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637487513133,1637487524049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637487524061,1637487532839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637487532850,1637487536860
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637487536869,1637487555323
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637487555387,1637487556263
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637487556272,1637487561630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637487561639,1637487568736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637487568746,1637487580431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637487580439,1637487586029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637487586038,1637487587543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637487587554,1637487597697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637487597708,1637487599612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637487599622,1637487608009
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637487608018,1637487614191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637487614200,1637487616569
