event,node,start,end
form start,,1638181837584,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638181837585,1638181841926
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638181841934,1638182645917
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638182645926,1638182667030
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638182667038,1638182673114
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638182673121,1638182674489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638182674497,1638182675791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638182675799,1638182678384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638182678392,1638182679797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638182679805,1638182681276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1638182681284,1638182683322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1638182683330,1638182685300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638182685308,1638182690619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638182690627,1638182693328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1638182693343,1638182695108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638182695116,1638182704800
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638182704809,1638182769330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182769387,1638182770332
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638182770340,1638182774552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182774614,1638182775302
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182775310,1638182778827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182778835,1638182779592
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182779599,1638182781104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182781112,1638182783981
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182783989,1638182785327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182785335,1638182795136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638182795144,1638182801469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638182801478,1638182805492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638182805500,1638182806307
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182806315,1638182807105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182807113,1638182807885
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638182807894,1638182808767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638182808775,1638182809382
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638182809391,1638182810030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638182810039,1638182810994
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638182811002,1638182813090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638182813098,1638182814585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638182814593,1638182821284
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638182821293,1638182850677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638182850684,1638182853420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182853427,1638182858008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182858017,1638182861101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638182861109,1638182862347
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182862355,1638182875713
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182875722,1638182877941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638182877994,1638182882845
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638182882854,1638182908197
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638182908206,1638183112149
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183112226,1638183121202
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638183121232,1638183136987
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183137093,1638183224389
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638183224434,1638183228000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638183228079,1638183230056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638183230065,1638183231070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638183231078,1638183232001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638183232009,1638183232882
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638183232890,1638183233713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638183233722,1638183234494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638183234502,1638183235309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638183235317,1638183236024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638183236032,1638183236722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638183236730,1638183237354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638183237363,1638183238035
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638183238043,1638183238750
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638183238758,1638183240141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638183240200,1638183240945
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638183240954,1638183241538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638183241596,1638183242225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638183242235,1638183242840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638183242848,1638183243538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638183243546,1638183244203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638183244212,1638183244917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638183244926,1638183245599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638183245607,1638183246281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638183246288,1638183247262
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638183247270,1638183248010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638183248018,1638183248725
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638183248733,1638183249439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638183249448,1638183250640
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638183250649,1638183270959
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183271040,1638183273266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638183273324,1638183275223
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183275231,1638183291768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638183291819,1638183294491
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183294500,1638183300612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638183300668,1638183330133
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638183330142,1638183331646
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638183331654,1638183369300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183369308,1638183380870
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638183380878,1638183401053
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183401061,1638183414401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183414409,1638183417892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183417899,1638183418689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638183418697,1638183423362
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183423369,1638183424092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183424100,1638183425190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183425198,1638183426138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183426146,1638183428365
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638183428374,1638183430293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183430301,1638183431491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638183431499,1638183433070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183433078,1638183435996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638183436004,1638183442832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638183442841,1638183456727
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638183456736,1638183768623
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638183768675,1638183873820
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638183873866,1638183895247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638183895255,1638183896743
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638183896752,1638183956358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638183956382,1638183959284
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638183959291,1638183963340
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638183963350,1638183977371
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638183977380,1638183978701
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638183978710,1638183981893
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638183981902,1638183992915
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1638183992925,1638183999364
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638183999374,1638184001093
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638184001102,1638184004518
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638184004527,1638184012214
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638184012223,1638184030768
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638184030776,1638184032064
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638184032072,1638184033727
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638184033735,1638184046228
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638184046236,1638184047840
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638184047848,1638184074439
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638184074448,1638184130545
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638184130554,1638184133953
end screen,,1638184133960,1638184173581
form save,,1638184173741,
form exit,,1638184173741,
form resume,,1638190356157,
jump,,1638190356157,1638190357045
end screen,,1638190357065,1638190357871
form save,,1638190358094,
form exit,,1638190358094,
form finalize,,1638190358094,
