event,node,start,end
form start,,1637747038556,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637747038557,1637747063064
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637747063073,1637747234106
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637747234115,1637747235576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637747235591,1637747236922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637747236934,1637747238561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637747238569,1637747245203
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637747245212,1637747246561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747246576,1637747255337
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747255345,1637747316781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747316840,1637747319756
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747319770,1637747321177
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747321237,1637747322347
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747322356,1637747323465
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747323533,1637747324552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637747324561,1637747330606
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637747330619,1637747340187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637747340196,1637747349104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747349115,1637747355806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747355815,1637747357528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747357537,1637747359656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747359664,1637747361318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637747361327,1637747365836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637747365844,1637747371309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637747371320,1637747373211
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637747373224,1637747375134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747375145,1637747383516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637747383527,1637747392432
