event,node,start,end
form start,,1637828965800,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637828965802,1637828969481
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637828969496,1637829031551
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637829031566,1637829034514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637829034528,1637829036336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637829036350,1637829037925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637829037938,1637829045452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637829045461,1637829047022
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637829047038,1637829049116
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637829049128,1637829110530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637829110596,1637829121617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637829121626,1637829132907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637829132922,1637829139103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637829139116,1637829143621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637829143636,1637829148121
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637829148130,1637829149710
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637829149720,1637829172224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637829172239,1637829192488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637829192498,1637829194389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637829194403,1637829206604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637829206613,1637829208527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637829208536,1637829210557
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637829210570,1637829215680
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637829215692,1637829388059
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637829388170,1637829473360
