event,node,start,end
form start,,1638084866101,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638084866102,1638084871727
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638084871734,1638084919012
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638084919022,1638084920425
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638084920433,1638085128160
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638085128170,1638085129457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638085129466,1638085130869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638085130878,1638085132016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638085132026,1638085133762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638085133770,1638085135108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638085135116,1638085157202
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085157210,1638085164220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638085164285,1638085165331
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085165339,1638085214601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638085214664,1638085215851
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638085215859,1638085225057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638085225111,1638085229567
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638085229575,1638085234687
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638085234696,1638085239191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638085239201,1638085248434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638085248444,1638085256447
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638085256455,1638085258426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638085258434,1638085262748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638085262755,1638085263828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638085263835,1638085287567
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638085287575,1638085301732
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638085301740,1638085307800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638085307807,1638085314716
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638085314724,1638085321780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638085321788,1638085337408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638085337416,1638085342827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638085342835,1638085349594
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638085349602,1638085409665
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638085409756,1638085480446
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638085480493,1638085510281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638085510290,1638085511645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638085511653,1638085522219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638085522227,1638085529964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638085529973,1638085537280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638085537288,1638085539290
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638085539298,1638085554305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638085554314,1638085565042
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638085565051,1638085733698
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638085733748,1638085786543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638085786589,1638085806773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638085806782,1638085812176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638085812184,1638085813539
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638085813546,1638085855018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638085855045,1638085859189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638085859198,1638085867768
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638085867778,1638085869445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638085869453,1638085871241
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638085871249,1638085881033
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638085881041,1638085882263
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638085882271,1638085885123
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638085885130,1638085894399
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638085894407,1638085902029
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638085902037,1638085909128
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638085909136,1638085928080
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638085928088,1638085943175
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638085943183,1638085944088
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638085944096,1638085959749
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638085959757,1638085995490
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638085995500,1638085996303
end screen,,1638085996311,1638086102584
form save,,1638086102806,
form exit,,1638086102806,
form finalize,,1638086102806,
