event,node,start,end
form start,,1637484837511,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637484837512,1637484844725
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637484844736,1637484920476
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637484920485,1637484922611
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637484922620,1637484924306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637484924317,1637484925855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637484925868,1637484929328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637484929337,1637484931063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637484931074,1637484940577
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637484940585,1637484997890
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637484997949,1637484999390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637484999400,1637485003954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637485003968,1637485013303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637485013312,1637485018137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637485018154,1637485029659
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637485029669,1637485034642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637485034651,1637485049093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637485049107,1637485059872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637485059886,1637485061734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637485061745,1637485074429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637485074439,1637485075726
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637485075735,1637485079514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637485079528,1637485081543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637485081552,1637485090289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637485090298,1637485106996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637485107007,1637485121686
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637485121704,1637485238890
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637485238954,1637485331439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637485331503,1637485360339
