event,node,start,end
form start,,1637828972272,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637828972273,1637828975010
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637828975019,1637829003099
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637829003108,1637829007942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637829007951,1637829011370
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637829011382,1637829013113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637829013122,1637829018286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637829018295,1637829020275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637829020284,1637829050541
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637829050550,1637829126073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637829126132,1637829129661
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637829129672,1637829138333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637829138343,1637829144698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637829144712,1637829149646
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637829149655,1637829157626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637829157636,1637829159474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637829159484,1637829167829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637829167842,1637829175398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637829175409,1637829181988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637829181996,1637829186315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637829186324,1637829192537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637829192546,1637829194528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637829194542,1637829195429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637829195438,1637829203880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637829203894,1637829207350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637829207361,1637829210758
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637829210767,1637829328745
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637829328857,1637829361998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637829362069,1637829370492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637829370503,1637829371807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637829371816,1637829376739
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637829376748,1637829391272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637829391281,1637829403697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637829403706,1637829407004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637829407014,1637829410012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637829410024,1637829414730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637829414739,1637829417004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637829417014,1637829418441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637829418454,1637829419980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637829419994,1637829432011
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637829432020,1637829590470
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637829590526,1637829652015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637829652064,1637829679958
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637829679972,1637829685275
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637829685287,1637829707777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637829707804,1637829710014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637829710024,1637829721998
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637829722006,1637829736660
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637829736668,1637829742263
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637829742272,1637829744336
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637829744345,1637829747311
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637829747320,1637829758855
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637829758868,1637829776485
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637829776494,1637829779565
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637829779576,1637829781718
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637829781730,1637829783336
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637829783344,1637829785078
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637829785088,1637829786697
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637829786708,1637829819891
