event,node,start,end
form start,,1637563602516,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637563602519,1637563607049
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637563607064,1637563986208
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637563986219,1637563987616
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637563987626,1637564021871
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637564021882,1637564024858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637564024869,1637564026968
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637564026981,1637564028878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637564028897,1637564032215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637564032223,1637564034273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564034283,1637564044625
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564044643,1637564046494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564046555,1637564056998
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564057007,1637564149317
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637564149378,1637564155011
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564155020,1637564174228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637564174287,1637564176990
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564176999,1637564188639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637564188701,1637564189785
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637564189798,1637564195906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637564195918,1637564204375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637564204385,1637564216540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637564216550,1637564233763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637564233772,1637564236595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637564236604,1637564246159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637564246167,1637564255633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637564255645,1637564256849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637564256859,1637564259828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637564259837,1637564267234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637564267248,1637564282113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637564282127,1637564287566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637564287575,1637564305145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637564305155,1637564309090
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637564309099,1637564420875
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637564420947,1637564504831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637564504876,1637564509540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637564509551,1637564512370
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637564512385,1637564530995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637564531005,1637564556254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637564556266,1637564559715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637564559728,1637564574869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637564574878,1637564576793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637564576802,1637564603253
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637564603262,1637564870780
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637564870847,1637564952876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637564952929,1637564986449
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637564986464,1637564995324
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637564995337,1637564999116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637564999149,1637565002255
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637565002296,1637565028618
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637565028650,1637565032196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637565032210,1637565050402
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637565050418,1637565063911
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637565063925,1637565065397
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637565065409,1637565068496
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637565068507,1637565073333
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637565073342,1637565077394
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637565077405,1637565078777
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637565078786,1637565090106
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637565090119,1637565097708
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637565097717,1637565110336
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637565110346,1637565131906
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637565131917,1637565133223
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637565133232,1637565153912
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637565153922,1637565201387
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637565201399,1637565202455
end screen,,1637565202463,1637565228475
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637565228475,1637565229313
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637565229322,1637565232120
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637565232129,1637565232727
end screen,,1637565232735,1637565237140
form save,,1637565237909,
form exit,,1637565237909,
form resume,,1637565245217,
jump,,1637565245217,1637565256655
end screen,,1637565256689,1637565259365
form save,,1637565259813,
form exit,,1637565259814,
form resume,,1637565264461,
jump,,1637565264461,1637565305714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637565287238,1637565305714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637565305724,1637565307388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637565307396,1637565308770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637565308784,1637565310354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637565310363,1637565311801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637565311813,1637565312760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637565312769,1637565376485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock_other,1637565376497,1637565400923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637565400932,1637565402201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock_other,1637565402210,1637565403855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637565403863,1637565405020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637565405035,1637565405996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637565406005,1637565406996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565407005,1637565408252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637565408261,1637565409236
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637565409245,1637565410116
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637565410125,1637565412553
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637565412593,1637565417761
form save,,1637565418113,
form exit,,1637565418114,
form resume,,1637565423478,
jump,,1637565423479,1637565473831
end screen,,1637565473857,1637565476444
form save,,1637565477101,
form exit,,1637565477102,
form resume,,1637565482934,
jump,,1637565482934,1637565500126
end screen,,1637565500179,1637565502350
form save,,1637565502754,
form exit,,1637565502754,
form resume,,1637565507552,
jump,,1637565507553,1637565548425
end screen,,1637565548453,1637565550400
form save,,1637565550869,
form exit,,1637565550869,
form resume,,1637586418200,
jump,,1637586418200,1637586437266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637586433923,1637586437266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637586437275,1637586493029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637586493041,1637586494326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637586494336,1637586495917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637586495925,1637586497109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637586497118,1637586498303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637586498315,1637586499516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637586499525,1637586528293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637586528317,1637586529320
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637586529329,1637586530221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637586530235,1637586531059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637586531068,1637586535332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637586535348,1637586536190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637586536205,1637586537363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637586537372,1637586538472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637586538482,1637586539331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637586539345,1637586541612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637586541621,1637586542763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637586542772,1637586546766
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637586546775,1637586555162
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637586555279,1637586559043
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637586559096,1637586560314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637586560323,1637586561151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637586561161,1637586562514
