event,node,start,end
form start,,1638090606436,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638090606437,1638090611291
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638090611300,1638090776706
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638090776714,1638090778180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638090778188,1638090779565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638090779575,1638090781111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638090781120,1638090783123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638090783131,1638090784801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638090784811,1638090793746
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638090793755,1638090832127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638090832186,1638090833427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638090833436,1638090835106
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638090835115,1638090838963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638090838972,1638090847973
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638090847982,1638090867306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638090867316,1638090869070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638090869079,1638090874139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638090874147,1638090880390
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638090880399,1638090883066
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638090883075,1638090885512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638090885522,1638090895751
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638090895759,1638090903532
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638090903541,1638091004914
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638091005013,1638091050326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638091050369,1638091063705
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638091063713,1638091070954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638091070961,1638091073713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1638091073722,1638091077802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638091077811,1638091079448
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638091079457,1638091099281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638091099290,1638091112713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638091112722,1638091135158
