event,node,start,end
form start,,1637740051265,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637740051267,1637740056091
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637740056099,1637740224954
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637740224965,1637740226356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637740226370,1637740227664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637740227675,1637740228878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637740228891,1637740239275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637740239282,1637740240875
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637740240885,1637740250840
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637740250847,1637740291162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637740291227,1637740292833
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637740292841,1637740295444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637740295457,1637740307411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637740307423,1637740313682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637740313693,1637740322835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637740322843,1637740324776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637740324784,1637740331816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637740331828,1637740338256
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637740338269,1637740341332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637740341343,1637740346295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637740346306,1637740348458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637740348471,1637740357450
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637740357460,1637740418972
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637740419064,1637740455727
