event,node,start,end
form start,,1637144139764,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637144139766,1637144143778
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637144143791,1637144196841
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637144196855,1637144198685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637144198699,1637144200526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637144200539,1637144203543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637144203557,1637144214295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637144214305,1637144216201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637144216217,1637144220977
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637144220985,1637144315072
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637144315133,1637144316573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637144316585,1637144325527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637144325542,1637144356131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637144356140,1637144370087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637144370096,1637144426015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637144426024,1637144427709
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637144427718,1637144440827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637144440840,1637144456957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637144456972,1637144471768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637144471777,1637144473948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637144473960,1637144476042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637144476052,1637144477153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637144477161,1637144481615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637144481630,1637144494362
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637144494374,1637144513232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637144513297,1637144516479
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637144516490,1637144730708
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637144730802,1637144791767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637144791824,1637144812412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637144812424,1637144817079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637144817088,1637144841532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637144841541,1637144843250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637144843266,1637144846962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637144846978,1637144894553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637144894563,1637144898111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637144898120,1637144900852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637144900869,1637144928229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637144928242,1637144953478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637144953490,1637144954358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637144954369,1637144955280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637144955289,1637144956369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637144956378,1637144958906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637144958916,1637144961375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637144961389,1637144962171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637144962181,1637144962883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637144962895,1637144963804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637144963815,1637144998407
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637144998422,1637145151314
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637145151378,1637145197792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637145197854,1637145231837
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637145231850,1637145242769
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637145242778,1637145318270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637145318314,1637145323651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637145323663,1637145348030
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637145348043,1637145361398
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637145361414,1637145362799
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637145362817,1637145365335
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637145365348,1637145380996
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637145381010,1637145385158
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637145385170,1637145399443
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637145399454,1637145402753
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637145402762,1637145411685
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637145411694,1637145419330
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637145419348,1637145420375
end screen,,1637145420383,1637145469460
form save,,1637145470134,
form exit,,1637145470134,
form finalize,,1637145470135,
