event,node,start,end
form start,,1638170511349,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638170511350,1638170515049
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170515058,1638170609003
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170609010,1638170621139
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170621147,1638170622652
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170622661,1638170631530
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170631537,1638170638462
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170638471,1638170639953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638170639962,1638170641254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638170641262,1638170643050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638170643059,1638170655650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638170655658,1638170657529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170657538,1638170667239
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170667247,1638170736389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170736440,1638170737525
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170737532,1638170760810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170760863,1638170761946
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170761955,1638170774243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638170774298,1638170775427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638170775436,1638170783075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170783083,1638170791436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170791445,1638170813697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170813704,1638170819682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170819689,1638170860809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638170860818,1638170873095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638170873103,1638170876070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638170876079,1638170889352
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638170889362,1638170892729
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170892737,1638170896667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170896675,1638170899860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170899868,1638170901289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638170901298,1638170914423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170914431,1638170918895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170918904,1638170934271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170934279,1638170941237
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170941245,1638170941952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638170941959,1638170947372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170947380,1638170948020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638170948027,1638170953057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638170953065,1638170953789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638170953796,1638170954503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638170954510,1638170965974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638170965983,1638170967339
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638170967348,1638171296720
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638171296791,1638171413850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638171413897,1638171447309
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638171447317,1638171452130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638171452138,1638171454457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1638171454466,1638171457865
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638171457875,1638171478844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638171478853,1638171480241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638171480251,1638171509782
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638171509791,1638171581450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638171581459,1638171591806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638171591815,1638171651470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1638171651479,1638171655027
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638171655035,1638171667479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638171667489,1638171675345
