event,node,start,end
form start,,1637485779524,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637485779526,1637485782950
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637485782959,1637485892359
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637485892369,1637485894306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637485894321,1637485896101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637485896113,1637485897963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637485897974,1637485904998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637485905005,1637485906999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637485907013,1637485917709
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637485917717,1637485984723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637485984802,1637485988729
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637485988738,1637485989911
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637485989986,1637485991316
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637485991324,1637486038097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637486038154,1637486039577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637486039585,1637486046541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637486046556,1637486074799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637486074809,1637486081783
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637486081796,1637486112745
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637486112753,1637486115433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637486115442,1637486143939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637486143948,1637486148428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637486148437,1637486152805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637486152813,1637486171958
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637486171969,1637486174527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637486174539,1637486190205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637486190214,1637486215234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637486215247,1637486217001
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637486217013,1637486370092
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637486370171,1637486471297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637486471354,1637486484864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637486484874,1637486491860
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637486491871,1637486501664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637486501674,1637486502469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637486502477,1637486504510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637486504521,1637486506097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637486506106,1637486531612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637486531621,1637486538496
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637486538505,1637486552327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637486552336,1637486565939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637486565954,1637486590434
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637486590447,1637486689133
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637486689188,1637486839801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637486839849,1637486870213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637486870222,1637486876413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637486876424,1637486893212
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637486893224,1637486896763
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637486896771,1637486927112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637486927146,1637486931285
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637486931297,1637486945663
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637486945676,1637486965026
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637486965034,1637486971221
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637486971237,1637486998548
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637486998561,1637487005956
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637487005964,1637487011763
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637487011774,1637487026657
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637487026673,1637487068926
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637487068934,1637487074647
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637487074655,1637487143434
form save,,1637487143903,
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637487143904,1637487145134
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637487145143,1637487158771
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637487158779,1637487180832
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637487180840,1637487182780
form save,,1637487183214,
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637487183214,1637487186369
form save,,1637487186888,
form exit,,1637487186888,
form resume,,1637487197661,
jump,,1637487197661,1637487200609
end screen,,1637487200638,1637487225186
form save,,1637487225706,
form exit,,1637487225707,
form finalize,,1637487225707,
form resume,,1637501977528,
jump,,1637501977529,1637501984305
end screen,,1637501984331,1637501985332
form save,,1637501985998,
form exit,,1637501985998,
form finalize,,1637501985998,
