event,node,start,end
form start,,1637564798197,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637564798201,1637564800984
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637564801000,1637564869929
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637564869941,1637564871586
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637564871601,1637564873530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637564873540,1637564959398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637564959409,1637564965314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637564965323,1637564967014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564967026,1637564987940
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564987954,1637565023765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637565023826,1637565024790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637565024800,1637565030321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637565030334,1637565049159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565049168,1637565059908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565059921,1637565069224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637565069233,1637565071207
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637565071215,1637565094313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637565094325,1637565096238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637565096249,1637565100818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565100829,1637565102232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637565102249,1637565108467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565108476,1637565111447
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637565111458,1637565112780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565112792,1637565123098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637565123109,1637565124516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565124524,1637565125387
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637565125397,1637565127778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637565127792,1637565147409
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637565147421,1637565265595
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637565265743,1637565322047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637565322104,1637565334494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637565334507,1637565337406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565337414,1637565361029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637565361042,1637565363052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565363067,1637565369414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637565369427,1637565373116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637565373125,1637565411684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637565411693,1637565416743
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637565416755,1637565418606
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637565418664,1637565457733
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637565457744,1637565746724
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637565746791,1637565754943
form save,,1637565756020,
jump,,1637565757406,1637565759893
end screen,,1637565759988,1637565764490
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637565764490,1637565765724
end screen,,1637565765731,1637565769022
jump,,1637565769023,1637565771692
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637565771717,1637565773902
jump,,1637565773902,1637565793196
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637565791703,1637565793196
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637565793210,1637565794564
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637565794633,1637565881314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637565881372,1637565939593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637565939621,1637565941578
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637565941591,1637565947938
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637565947951,1637565949617
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637565949628,1637565987404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637565987439,1637565988390
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637565988403,1637565992728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637565992776,1637566002893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637566002903,1637566008879
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637566008888,1637566025065
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637566025073,1637566029906
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637566029917,1637566037777
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637566037788,1637566047053
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637566047064,1637566073757
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637566073766,1637566075296
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637566075304,1637566077261
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637566077269,1637566078112
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637566078121,1637566085586
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637566085594,1637566086354
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637566086361,1637566117303
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637566117312,1637566130846
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637566130854,1637566132161
end screen,,1637566132173,1637566159283
form save,,1637566159860,
form exit,,1637566159861,
form finalize,,1637566159861,
