event,node,start,end
form start,,1637575366848,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637575366849,1637575369590
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637575369599,1637575482254
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637575482269,1637575483853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637575483867,1637575486245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637575486257,1637575488328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637575488341,1637575492004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637575492016,1637575493928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637575493941,1637575503137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637575503151,1637575507049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637575507065,1637575508404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637575508416,1637575518458
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637575518466,1637575549489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637575549546,1637575552682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637575552693,1637575562941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637575562954,1637575574033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637575574047,1637575578533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637575578545,1637575594159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637575594168,1637575596772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637575596781,1637575610332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637575610345,1637575639481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637575639498,1637575641939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637575641951,1637575645848
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637575645861,1637575656883
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637575656897,1637575824651
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637575824733,1637575895150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637575895199,1637575914346
