event,node,start,end
form start,,1637827435145,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637827435146,1637827645778
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637827645790,1637827680401
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637827680414,1637827682173
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637827682187,1637827685676
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637827685691,1637827687346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637827687360,1637827693080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637827693088,1637827695139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637827695153,1637827701655
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637827701664,1637827753534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637827753594,1637827757597
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637827757606,1637827766904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637827766979,1637827768073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637827768086,1637827773350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637827773363,1637827783772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637827783782,1637827804682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637827804697,1637827810977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637827810986,1637827814020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637827814029,1637827846751
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637827846764,1637827857136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637827857148,1637827859470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637827859484,1637827861175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637827861188,1637827876103
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637827876112,1637828102968
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637828103091,1637828209103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637828209176,1637828233902
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637828233913,1637828244561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637828244575,1637828317542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637828317555,1637828327553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637828327566,1637828350814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637828350823,1637828359750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637828359761,1637828372996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637828373008,1637828496518
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637828496527,1637828660819
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637828660875,1637828760412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637828760490,1637828773369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637828773377,1637828775017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637828775026,1637828776529
