event,node,start,end
form start,,1638102226260,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638102226261,1638102228795
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638102228803,1638102347405
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638102347413,1638102349062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638102349070,1638102350896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638102350904,1638102378709
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638102378716,1638102386289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638102386297,1638102388085
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102388094,1638102405674
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102405682,1638102507328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638102507382,1638102508813
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638102508821,1638102629021
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638102629076,1638102630140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638102630148,1638102632434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638102632442,1638102657354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638102657362,1638102660147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638102660155,1638102684867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638102684876,1638102686928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638102686937,1638102694708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638102694716,1638102696570
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638102696580,1638102704467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638102704477,1638102708258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638102708267,1638102711017
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638102711025,1638102714075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638102714084,1638102719179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638102719187,1638102786718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638102786726,1638102791041
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638102791049,1638103269346
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638103269428,1638103334125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638103334170,1638103336118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638103336129,1638103337731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638103337739,1638103372242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638103372251,1638103375767
