event,node,start,end
form start,,1637571411824,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637571411826,1637571428466
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637571428476,1637571527473
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637571527490,1637571531482
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637571531491,1637571538301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637571538311,1637571539923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637571539935,1637571549342
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637571549357,1637571551500
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637571551509,1637571605146
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637571605159,1637571634703
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637571634769,1637571636403
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637571636412,1637571652654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637571652666,1637571657580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637571657593,1637571658648
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637571658661,1637571662551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637571662560,1637571665569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637571665579,1637571671774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637571671785,1637571673374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637571673384,1637571680538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637571680550,1637571694095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637571694104,1637571700006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637571700015,1637571710626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637571710636,1637571713458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637571713472,1637571716950
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637571716959,1637571815292
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637571815441,1637571862454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637571862527,1637571873721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637571873737,1637571880737
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637571880747,1637571911312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637571911322,1637571922577
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637571922589,1637571925086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637571925095,1637571931804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637571931818,1637571933438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637571933449,1637571934750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637571934762,1637571951250
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637571951263,1637571953225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637571953285,1637571955251
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637571955263,1637572076809
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637572076866,1637572136679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637572136758,1637572166822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637572166831,1637572174745
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637572174757,1637572211318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637572211380,1637572217599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637572217607,1637572226036
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637572226049,1637572236550
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637572236558,1637572238130
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637572238142,1637572240283
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637572240292,1637572250277
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637572250289,1637572252287
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637572252296,1637572254422
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637572254435,1637572259571
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637572259580,1637572261624
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637572261634,1637572288796
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637572288806,1637572289781
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637572289789,1637572323773
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637572323782,1637572333722
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637572333732,1637572334747
end screen,,1637572334755,1637572979410
form save,,1637572980224,
form exit,,1637572980225,
form finalize,,1637572980225,
