event,node,start,end
form start,,1637567375483,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637567375484,1637567378874
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637567378882,1637567382246
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637567382255,1637567493505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637567493514,1637567494855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637567494864,1637567496450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637567496459,1637567500062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637567500070,1637567502179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637567502188,1637567505529
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637567505537,1637567570126
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637567570187,1637567571424
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637567571437,1637567579229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637567579238,1637567598423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637567598431,1637567603868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637567603876,1637567619571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637567619580,1637567621648
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637567621657,1637567630319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637567630328,1637567649454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637567649466,1637567655222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637567655232,1637567665739
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637567665749,1637567686388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637567686397,1637567688912
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637567688929,1637567860362
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637567860440,1637567942723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637567942770,1637567950429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637567950437,1637567957587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637567957595,1637567967639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637567967648,1637567973591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637567973599,1637568048073
