event,node,start,end
form start,,1637565247679,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637565247681,1637565250734
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637565250744,1637565254059
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637565254073,1637565301115
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637565301128,1637565303263
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637565303274,1637565303828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637565303838,1637565308629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637565308638,1637565312793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637565312803,1637565318306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637565318314,1637565320807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637565320820,1637565327115
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637565327124,1637565416034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637565416094,1637565418940
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637565418949,1637565476567
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637565476624,1637565477978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637565477988,1637565486790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637565486804,1637565495240
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637565495251,1637565501993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637565502003,1637565515738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637565515765,1637565519400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637565519408,1637565527921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637565527936,1637565546589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637565546600,1637565548838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565548851,1637565563655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637565563664,1637565564560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637565564573,1637565565970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637565565982,1637565574810
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637565574825,1637565860629
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637565860714,1637565973065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637565973115,1637565988572
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637565988586,1637565995894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565995905,1637566044034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637566044045,1637566044958
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637566044968,1637566051748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637566051765,1637566063046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637566063061,1637566100333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637566100342,1637566146869
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637566146878,1637566304154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637566304211,1637566305920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637566305933,1637566307226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637566307234,1637566310631
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637566310642,1637566312490
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637566312553,1637566468286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637566468336,1637566470262
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637566470274,1637566473925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637566473973,1637566506313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637566506327,1637566510858
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637566510866,1637566631194
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637566631229,1637566655118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637566655127,1637566664872
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637566664882,1637566677580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637566677589,1637566679241
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637566679250,1637566695782
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637566695791,1637566700516
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637566700531,1637566706301
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637566706312,1637566711829
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637566711848,1637566713869
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637566713878,1637566715047
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637566715065,1637566716268
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637566716278,1637566729521
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637566729530,1637566738725
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637566738739,1637566740282
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637566740291,1637566763021
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637566763030,1637566764112
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637566764121,1637566825489
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637566825497,1637566845654
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637566845663,1637566846916
end screen,,1637566846924,1637566872247
form save,,1637566872594,
form exit,,1637566872594,
form resume,,1637566973805,
jump,,1637566973805,1637566995856
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637566995882,1637567001196
form exit,,1637567001196,
form resume,,1637567006324,
jump,,1637567006324,1637567010924
end screen,,1637567010951,1637567013321
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637567013321,1637567014057
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637567014066,1637567014499
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637567014509,1637567014943
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637567014960,1637567015677
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637567015688,1637567016077
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637567016090,1637567016540
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637567016554,1637567017507
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637567017515,1637567017970
