event,node,start,end
form start,,1637576559167,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637576559169,1637576564420
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637576564430,1637577233131
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637577233152,1637577234880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637577234892,1637577236739
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637577236752,1637577238585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637577238594,1637577243726
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637577243735,1637577244608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637577244617,1637577247778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637577247788,1637577249373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637577249388,1637577260353
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637577260361,1637577353159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637577353232,1637577354707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637577354720,1637577360585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637577360597,1637577369689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637577369700,1637577380163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637577380177,1637577391843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637577391853,1637577393417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637577393429,1637577401962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637577401972,1637577422122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577422144,1637577424955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577424967,1637577444245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577444253,1637577446532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577446548,1637577447559
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577447572,1637577450580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637577450589,1637577461706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577461715,1637577463974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637577463983,1637577470985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637577470999,1637577488606
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637577488615,1637577492741
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637577492749,1637577705447
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637577705550,1637577759777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637577759868,1637577762979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637577762988,1637577765286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637577765301,1637577800230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637577800241,1637577810715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637577810728,1637577823899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637577823910,1637577848747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637577848761,1637577851088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637577851101,1637577854508
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637577854526,1637577865151
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637577865163,1637577868031
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637577868087,1637577876685
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637577876738,1637577992989
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637577993042,1637578060525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637578060579,1637578079325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637578079337,1637578090503
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637578090512,1637578129416
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637578129460,1637578132540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637578132549,1637578142019
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637578142028,1637578155229
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637578155238,1637578157033
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637578157042,1637578159656
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637578159665,1637578177070
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637578177079,1637578186072
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637578186081,1637578191878
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637578191887,1637578211525
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637578211535,1637578226358
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637578226367,1637578227406
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637578227415,1637578267519
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637578267533,1637578287884
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637578287893,1637578288953
end screen,,1637578288962,1637578311240
form save,,1637578311648,
form exit,,1637578311649,
form resume,,1637578336718,
jump,,1637578336718,1637578402375
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578375459,1637578402375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637578402441,1637578409544
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578409553,1637578412841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637578412898,1637578452692
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578452701,1637578455046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637578455107,1637578456532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637578456543,1637578457600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637578457609,1637578458899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637578458908,1637578459528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637578459537,1637578460116
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578460127,1637578461062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637578461128,1637578462714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637578462723,1637578464454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637578464462,1637578465712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637578465722,1637578466509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637578466518,1637578467536
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578467547,1637578534398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637578534461,1637578535528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637578535537,1637578536515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637578536524,1637578537396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637578537407,1637578538466
