event,node,start,end
form start,,1637564619205,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637564619208,1637564622938
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637564622953,1637564624916
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637564624928,1637564730610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637564730621,1637564732381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637564732395,1637564734258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637564734272,1637564736496
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637564736505,1637564737909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564737925,1637564750687
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564750697,1637564779983
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637564780041,1637564781491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637564781503,1637564791439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637564791448,1637564805414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637564805422,1637564810542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637564810551,1637564825513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637564825523,1637564827411
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637564827420,1637564837366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637564837375,1637564847555
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637564847564,1637564850080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637564850091,1637564852301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637564852310,1637564861753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637564861764,1637564869804
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637564869811,1637565032775
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637565032856,1637565105671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637565105726,1637565121209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637565121219,1637565127078
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565127088,1637565169883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637565169891,1637565171053
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565171061,1637565177517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637565177529,1637565179110
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637565179126,1637565192124
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637565192136,1637565207910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637565207920,1637565212273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637565212287,1637565215825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637565215835,1637565225281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637565225289,1637565278236
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637565278245,1637565509450
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637565509508,1637565545823
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637565545874,1637565550872
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637565550933,1637565590224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637565590276,1637565606197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637565606206,1637565607994
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637565608003,1637565652896
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637565652943,1637565655821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637565655831,1637565679816
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637565679830,1637565691346
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637565691356,1637565695401
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637565695411,1637565697743
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637565697752,1637565707817
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637565707825,1637565727135
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637565727144,1637565735806
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637565735816,1637565737036
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637565737045,1637565741655
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637565741667,1637565763832
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637565763840,1637565779465
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637565779473,1637565780675
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637565780683,1637565859697
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637565859708,1637565880609
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637565880617,1637565881962
end screen,,1637565881970,1637565928005
form save,,1637565928647,
form exit,,1637565928647,
form finalize,,1637565928647,
