event,node,start,end
form start,,1637657711529,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637657711530,1637657716254
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637657716262,1637657813531
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637657813540,1637657814665
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637657814673,1637657872978
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637657872988,1637657876051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637657876064,1637657877576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637657877588,1637657879801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637657879811,1637657884923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637657884932,1637657886916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637657886929,1637657921279
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637657921287,1637658230249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637658230309,1637658235932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637658235942,1637658372228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637658372289,1637658378012
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637658378021,1637658395167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637658395227,1637658398712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637658398721,1637658404356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637658404369,1637658412460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637658412469,1637658419301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637658419312,1637658434626
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637658434635,1637658456482
