event,node,start,end
form start,,1637752408683,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637752408684,1637752411781
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637752411794,1637752462239
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637752462248,1637752464813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637752464826,1637752466794
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637752466808,1637752471310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637752471323,1637752473384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637752473398,1637752475007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637752475022,1637752487989
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637752487998,1637752526155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637752526228,1637752527691
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637752527700,1637752531718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637752531726,1637752537750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637752537759,1637752541613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637752541624,1637752548342
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637752548356,1637752550067
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637752550076,1637752570665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637752570675,1637752576594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637752576603,1637752578689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637752578698,1637752596444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637752596457,1637752598497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637752598508,1637752603714
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637752603727,1637752682343
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637752682433,1637752719937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637752720006,1637752721548
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637752721557,1637752725635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637752725701,1637752735502
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637752735511,1637752755701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637752755710,1637752766332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637752766341,1637752773880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637752773889,1637752789653
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637752789665,1637752799378
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637752799390,1637752801752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637752801765,1637752803925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637752803940,1637752807578
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637752807586,1637752964363
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637752964423,1637753011553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637753011654,1637753023039
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637753023048,1637753027017
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637753027034,1637753055511
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637753055546,1637753058750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637753058764,1637753068088
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637753068097,1637753081786
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637753081800,1637753083409
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637753083420,1637753085502
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637753085515,1637753102331
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637753102341,1637753104238
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637753104247,1637753106370
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637753106379,1637753108400
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637753108411,1637753111292
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637753111300,1637753122190
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637753122199,1637753123173
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637753123182,1637753154191
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637753154200,1637753162339
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637753162350,1637753163426
end screen,,1637753163449,1637753447485
form save,,1637753448204,
form exit,,1637753448204,
form finalize,,1637753448205,
