event,node,start,end
form start,,1637839816420,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637839816421,1637839821229
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637839821242,1637839878217
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637839878230,1637839879498
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637839879512,1637839880789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637839880800,1637839882064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637839882076,1637839884674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637839884683,1637839886009
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637839886022,1637839892501
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637839892509,1637839928409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637839928467,1637839932187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637839932197,1637839942556
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637839942569,1637839947007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637839947022,1637839957601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637839957613,1637839976416
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637839976425,1637839978176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637839978185,1637839990681
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637839990695,1637839996908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637839996917,1637839998791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637839998803,1637840003890
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637840003904,1637840005426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637840005440,1637840012468
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637840012482,1637840078670
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637840078763,1637840109086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637840109129,1637840115513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637840115521,1637840117109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637840117122,1637840124351
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637840124364,1637840126129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637840126140,1637840142162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637840142172,1637840145760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637840145768,1637840153996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637840154010,1637840155591
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637840155599,1637840167939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637840167951,1637840181040
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637840181051,1637840325275
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637840325335,1637840360954
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637840361009,1637840398777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637840398789,1637840399706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637840399715,1637840414257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637840414269,1637840416421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637840416429,1637840419618
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637840419630,1637840453415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637840453448,1637840456609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637840456624,1637840469699
