event,node,start,end
form start,,1638184608294,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638184608295,1638184610373
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638184610382,1638184740384
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638184740392,1638184741598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638184741609,1638184742912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638184742920,1638184744058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638184744068,1638184747632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638184747641,1638184749742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638184749753,1638184761015
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638184761023,1638184835669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638184835724,1638184837950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638184837958,1638184844450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638184844458,1638184853793
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638184853801,1638184862986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638184862996,1638184870451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638184870459,1638184877251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638184877258,1638184882686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638184882694,1638184884116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638184884124,1638184890167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638184890177,1638184903533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638184903542,1638184907855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638184907863,1638184909868
