event,node,start,end
form start,,1637151321926,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637151321928,1637151326276
form resume,,1637151454292,
jump,,1637151454293,1637151460664
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637151460694,1637151462171
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637151462184,1637151569852
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637151569862,1637151571603
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637151571617,1637151573354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637151573368,1637151575075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637151575091,1637151582500
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637151582509,1637151584325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637151584341,1637151592752
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151592761,1637151692828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637151692896,1637151695629
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151695640,1637151697149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637151697215,1637151698480
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637151698489,1637151755722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637151755791,1637151757057
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637151757070,1637151763681
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637151763695,1637151771315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637151771333,1637151791333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637151791343,1637151816461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637151816474,1637151818200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637151818209,1637151836138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637151836153,1637151846164
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637151846178,1637151856834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637151856849,1637151858867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637151858877,1637151863211
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637151863220,1637151865684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637151865698,1637151879479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637151879494,1637151881892
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637151881905,1637151979549
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637151979629,1637152043135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637152043194,1637152075096
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637152075105,1637152080003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637152080018,1637152104573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637152104585,1637152108450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637152108463,1637152112000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637152112010,1637152114766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637152114776,1637152124220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637152124231,1637152132836
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637152132850,1637152181356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637152181425,1637152182258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637152182276,1637152185065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637152185075,1637153011306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637153011321,1637153013909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637153013920,1637153016075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637153016084,1637153018907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637153018917,1637153061496
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637153061507,1637153291337
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637153291402,1637153333758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637153333866,1637153340735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637153340746,1637153344451
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637153344462,1637153355928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637153355980,1637153358442
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637153358456,1637153367947
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637153367958,1637153388410
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637153388422,1637153404280
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637153404292,1637153407155
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637153407163,1637153408835
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637153408847,1637153411563
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637153411575,1637153442559
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637153442574,1637153450157
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637153450166,1637153456936
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637153456946,1637153460608
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637153460618,1637153471566
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637153471576,1637153480163
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637153480171,1637153481695
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637153481703,1637153494959
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637153494969,1637153496154
end screen,,1637153496163,1637153566950
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637153566951,1637153569155
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637153569164,1637153569870
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637153569879,1637153571318
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637153571327,1637153573437
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637153573446,1637153576439
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637153576448,1637153577929
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637153577938,1637153580050
