event,node,start,end
form start,,1637580736339,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637580736341,1637580742629
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637580742644,1637580915304
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637580915316,1637580916953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637580916966,1637580922858
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637580922871,1637580927635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637580927644,1637580933746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637580933756,1637580936094
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637580936109,1637580980908
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637580980917,1637581043422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637581043485,1637581044891
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637581044911,1637581049055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637581049119,1637581051065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637581051077,1637581054501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637581054511,1637581056261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637581056273,1637581059300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637581059312,1637581060703
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637581060716,1637581063719
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637581063781,1637581066800
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637581066815,1637581068661
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637581068725,1637581069936
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637581069948,1637581071150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637581071167,1637581078011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637581078019,1637581079642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637581079658,1637581088116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637581088126,1637581089939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637581089948,1637581103074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637581103088,1637581126424
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637581126439,1637581132687
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637581132697,1637581145994
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637581146009,1637581148717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637581148731,1637581157094
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637581157106,1637581374844
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637581374936,1637581444752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637581444810,1637581478222
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637581478231,1637581479855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637581479865,1637581514965
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637581514980,1637581517182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637581517193,1637581520534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637581520546,1637581567151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_new_member,1637581567164,1637581569364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637581569375,1637581571809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637581571819,1637581575073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637581575088,1637581600305
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637581600317,1637581820855
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637581820929,1637581903562
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637581903616,1637581933923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637581933940,1637581979426
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637581979436,1637582058744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637582058779,1637582061005
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637582061018,1637582090843
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637582090859,1637582103326
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637582103340,1637582104749
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637582104764,1637582107681
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637582107695,1637582111613
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637582111629,1637582115381
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637582115394,1637582148670
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637582148683,1637582157210
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637582157219,1637582158380
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637582158390,1637582282746
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637582282759,1637582321821
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637582321838,1637582323472
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637582323481,1637582330422
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637582330432,1637582336571
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637582336580,1637582337576
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637582337585,1637582338665
end screen,,1637582338672,1637582393665
form save,,1637582394265,
form exit,,1637582394265,
form finalize,,1637582394265,
form resume,,1637587669927,
jump,,1637587669927,1637587674830
end screen,,1637587674867,1637587676173
form save,,1637587676716,
form exit,,1637587676717,
form finalize,,1637587676717,
